gp_ip_cmd_lin,gp_ip_cmd_ang,gp_ip_curr_lin,gp_ip_curr_ang,Asphalt_Lin_Error,Asphalt_Ang_Error,Grass_Lin_Error,Grass_Ang_Error,Tile_Lin_Error,Tile_Ang_Error
1.4,-0.0,1.3,-0.2,-0.0093333952967315,-0.0092055022517798,-0.0182036505689175,0.0003106455701523,-0.0200549980103869,-0.0055799760763714
0.6,0.0,0.6,0.1,0.0201604762932867,-0.0158894313908258,0.0094140619514828,0.00136126389667,0.0034926339356018,0.0004578223681588
1.1,0.4,1.0,0.4,-0.0118255615920886,0.0101726639316078,-0.0153440385582276,0.0123385514927514,-0.0151596129381718,0.0131158289129809
0.3,1.0,0.3,0.7,-0.0006256957212822,0.0225383735466247,-0.0200889355415499,-0.0157012197666637,-0.0046060411152708,0.0191286515670039
0.9,-0.2,0.8,-0.2,0.0085650465597512,-0.0025753953324484,-0.0044215391687308,-0.007990426596451,-0.0210203051914491,-0.0040847673549333
1.1,-0.0,1.0,0.2,0.0077397196098065,0.0067778111388476,-0.0062246791580483,0.0023946560316704,0.0054165876294653,0.0057425963152752
0.5,0.4,0.2,0.1,-0.0091366113464831,0.0049534951260373,-0.0049781985160977,-0.0022785113876154,-0.0139458442788412,-0.001824709875275
1.4,1.4,1.2,1.4,-0.0980944364357581,0.0861526301637765,-0.0966978386633681,0.0495995436969396,-0.1083126799866895,0.0885783382122027
1.2,-0.5,1.1,-0.5,0.0087959680868129,0.0147705624437018,0.0254445234362569,-0.0318520263801267,-0.0140055178450175,-0.0216449410262491
0.8,0.3,0.7,0.3,-0.0169119811112333,-0.0053129541602867,-0.0085926632057962,0.0021759916179873,-0.0113119767148604,0.0104276405556333
0.8,0.8,0.8,0.7,0.0060584375399451,0.019295994641582,-0.0202910471204288,0.0228423177536084,-0.0127505661369182,0.0245825981332543
1.2,0.2,1.1,0.0,0.0172417029261477,-0.0076253069237843,0.0011681649715627,0.0023942138239562,-0.0048522501006657,-0.0095341726735996
0.6,0.5,0.5,0.4,-0.0020386636956717,0.0118928093372279,-0.0086830658539488,0.0135786861457713,-0.0126002148731938,0.0103031530838558
